geo,County Rate
01001,197
01003,162
01005,428
01007,249
01009,77
01011,503
01013,261
01015,140
01017,301
01019,112
01021,113
01023,271
01025,161
01027,225
01031,142
01033,89
01035,205
01037,127
01039,125
01041,188
01043,79
01045,282
01047,429
01049,74
01051,247
01053,248
01055,159
01057,105
01061,160
01063,364
01065,363
01067,198
01069,312
01071,47
01073,609
01075,126
01077,73
01079,81
01081,172
01083,161
01085,625
01087,384
01089,214
01091,95
01093,124
01095,113
01097,506
01099,189
01101,699
01103,139
01105,240
01107,252
01109,341
01113,296
01115,136
01117,135
01119,306
01121,217
01123,132
01125,234
01127,141
01129,98
01131,152
04001,167
04003,170
04005,118
04007,86
04009,90
04012,130
04013,303
04015,128
04017,131
04019,266
04021,243
04023,131
04025,122
04027,141
05001,213
05003,80
05005,79
05007,130
05009,45
05013,375
05015,227
05017,312
05019,138
05021,139
05023,95
05025,212
05027,171
05029,131
05031,158
05033,98
05035,518
05037,190
05041,211
05043,89
05045,156
05047,81
05051,226
05053,172
05055,61
05057,105
05059,148
05063,121
05067,241
05069,449
05071,56
05077,582
05079,237
05081,207
05085,93
05087,115
05091,259
05093,229
05095,233
05103,184
05107,300
05111,75
05115,86
05119,509
05123,380
05125,56
05131,189
05139,388
05143,142
05145,89
05149,94
06001,417
06005,143
06007,112
06009,86
06013,233
06015,78
06017,96
06019,221
06023,130
06025,172
06027,134
06029,220
06031,126
06033,188
06035,68
06037,563
06039,136
06041,380
06043,115
06045,218
06047,90
06053,185
06055,194
06057,85
06059,246
06061,68
06063,74
06065,286
06067,293
06069,64
06071,182
06073,426
06075,1699
06077,221
06079,244
06081,235
06083,151
06085,194
06087,170
06089,133
06093,94
06095,303
06097,285
06099,121
06101,98
06103,73
06107,90
06109,80
06111,126
06113,115
06115,78
08001,221
08005,236
08013,156
08014,65
08019,221
08025,275
08029,51
08031,1041
08035,62
08037,143
08039,106
08041,138
08043,309
08045,101
08049,95
08059,115
08067,80
08069,75
08071,115
08077,94
08083,65
08085,38
08087,70
08093,97
08097,172
08101,122
08107,63
08117,167
08123,75
09001,324
09003,354
09005,134
09007,177
09009,423
09011,209
09013,87
09015,181
10001,284
10003,452
10005,347
12001,423
12003,456
12005,298
12007,333
12009,287
12011,1158
12013,210
12015,211
12017,151
12019,176
12021,282
12023,547
12027,430
12029,292
12031,752
12033,455
12035,166
12037,175
12039,740
12041,164
12043,646
12045,233
12047,1395
12049,298
12051,375
12053,212
12055,250
12057,570
12059,148
12061,267
12063,1054
12065,1030
12067,158
12069,291
12071,327
12073,462
12075,227
12077,275
12079,868
12081,325
12083,349
12085,284
12086,1118
12087,863
12089,143
12091,239
12093,335
12095,730
12097,409
12099,636
12101,217
12103,488
12105,377
12107,380
12109,173
12111,649
12113,191
12115,248
12117,281
12119,230
12121,546
12123,941
12125,2426
12127,354
12129,500
12131,145
12133,742
13001,152
13003,292
13005,492
13009,297
13011,124
13013,136
13015,179
13017,412
13019,309
13021,729
13023,496
13025,184
13027,456
13029,122
13031,369
13033,430
13035,429
13037,590
13039,201
13043,371
13045,163
13047,122
13049,234
13051,677
13053,135
13055,296
13057,132
13059,282
13061,579
13063,773
13065,471
13067,416
13069,250
13071,444
13073,156
13075,316
13077,191
13079,236
13081,567
13083,106
13085,118
13087,530
13089,1114
13091,589
13093,384
13095,892
13097,306
13099,267
13103,113
13105,196
13107,286
13109,585
13111,135
13113,165
13115,240
13117,57
13119,69
13121,1491
13123,138
13127,406
13129,118
13131,282
13133,170
13135,320
13137,79
13139,114
13141,280
13143,109
13145,136
13147,135
13151,246
13153,241
13155,353
13157,93
13159,197
13161,260
13163,342
13165,521
13167,238
13169,88
13171,181
13173,192
13175,430
13177,139
13179,350
13181,228
13185,518
13187,71
13189,245
13191,295
13193,371
13195,88
13197,243
13199,303
13201,284
13205,407
13207,168
13209,171
13211,179
13213,99
13215,540
13217,321
13223,114
13225,429
13227,90
13229,109
13233,108
13235,303
13237,123
13243,532
13245,779
13247,363
13251,337
13253,299
13255,303
13257,135
13259,657
13261,413
13263,270
13267,492
13269,320
13271,498
13273,450
13275,392
13277,408
13279,326
13283,447
13285,185
13287,468
13289,167
13291,87
13293,240
13295,96
13297,135
13299,464
13301,409
13303,266
13305,309
13309,484
13311,80
13313,161
13315,550
13317,226
13319,193
13321,274
15001,242
15003,202
15009,232
16001,84
16005,77
16011,89
16017,62
16019,37
16027,60
16047,108
16055,51
16057,60
16069,44
16083,36
17001,75
17003,327
17005,102
17007,75
17009,312
17011,66
17019,209
17021,115
17023,125
17027,121
17029,65
17031,569
17033,192
17037,62
17043,76
17051,305
17055,96
17057,165
17073,50
17075,66
17077,101
17081,121
17083,62
17085,62
17087,358
17089,75
17091,119
17093,30
17095,163
17097,124
17099,51
17103,120
17105,258
17107,253
17109,76
17111,38
17113,107
17115,142
17117,46
17119,82
17121,50
17135,158
17137,87
17141,64
17143,218
17145,145
17157,140
17161,209
17163,316
17167,173
17177,112
17179,40
17183,179
17197,88
17199,95
17201,160
17203,62
18003,171
18005,79
18011,70
18013,185
18017,85
18019,205
18021,117
18023,60
18027,82
18029,36
18031,64
18035,103
18037,43
18039,95
18043,153
18051,53
18053,104
18055,58
18057,90
18059,93
18061,76
18063,108
18065,124
18067,141
18069,65
18071,102
18073,83
18077,76
18081,99
18083,78
18085,50
18089,242
18091,124
18093,80
18095,152
18097,557
18099,34
18103,114
18105,143
18107,79
18109,91
18113,51
18117,91
18119,95
18121,137
18127,98
18133,190
18135,94
18141,231
18143,121
18145,67
18151,65
18153,72
18155,151
18157,91
18163,176
18167,229
18173,59
18175,73
18177,131
18181,98
19011,117
19013,87
19015,85
19019,70
19021,89
19031,91
19033,49
19045,107
19049,79
19057,60
19061,72
19099,120
19103,130
19105,81
19111,47
19113,106
19127,75
19139,54
19145,97
19153,177
19155,150
19163,129
19169,54
19179,61
19183,66
19187,70
19193,107
20005,87
20009,62
20015,158
20017,740
20021,197
20035,87
20041,193
20045,99
20055,80
20057,74
20059,81
20061,101
20091,131
20099,127
20103,265
20121,45
20143,714
20155,60
20161,25
20169,28
20173,182
20175,124
20177,157
20209,269
21003,83
21005,105
21009,56
21011,130
21015,94
21017,184
21019,121
21021,78
21029,67
21031,111
21033,140
21035,72
21037,146
21047,179
21049,134
21051,78
21059,107
21067,317
21071,44
21073,130
21081,130
21083,135
21085,74
21089,62
21093,143
21095,56
21099,85
21101,137
21107,41
21111,417
21113,115
21117,185
21125,58
21133,71
21137,74
21141,54
21145,211
21147,126
21151,83
21157,75
21161,120
21163,91
21167,83
21173,66
21175,156
21177,68
21179,62
21183,61
21185,208
21193,82
21195,26
21199,56
21209,89
21211,148
21219,119
21221,133
21225,207
21227,130
21235,64
21239,79
22001,198
22003,1063
22005,239
22007,140
22009,514
22011,128
22013,267
22015,177
22017,472
22019,361
22021,229
22025,292
22027,344
22029,255
22031,220
22033,988
22035,476
22037,879
22039,251
22041,264
22043,185
22045,182
22047,1225
22049,142
22051,471
22053,227
22055,355
22057,158
22059,910
22061,200
22063,188
22065,279
22067,291
22069,323
22071,1416
22073,442
22075,212
22077,278
22079,401
22081,183
22083,259
22085,85
22087,422
22089,235
22091,179
22093,413
22095,412
22097,376
22099,235
22101,164
22103,191
22105,333
22109,202
22111,165
22113,172
22115,142
22117,461
22119,226
22121,449
22125,1227
22127,345
23001,155
23003,53
23005,216
23009,110
23011,102
23013,92
23015,53
23017,60
23019,75
23023,53
23025,68
23027,98
23029,98
23031,132
24001,197
24003,276
24005,477
24009,127
24011,222
24013,103
24015,140
24017,364
24019,466
24021,171
24023,55
24025,201
24027,193
24029,224
24031,395
24033,796
24035,107
24037,106
24039,459
24041,187
24043,364
24045,247
24047,168
24510,2011
25001,374
25003,123
25005,271
25007,285
25009,261
25011,139
25013,473
25015,118
25017,263
25019,187
25021,202
25023,206
25025,854
25027,249
26005,83
26007,52
26015,38
26017,84
26021,184
26023,55
26025,144
26027,32
26031,53
26033,39
26035,118
26037,55
26041,67
26045,94
26047,60
26049,137
26055,98
26057,48
26059,36
26065,177
26067,60
26073,77
26075,179
26077,155
26081,177
26085,119
26087,53
26089,62
26091,48
26093,48
26099,129
26103,59
26105,61
26107,48
26111,38
26115,63
26117,59
26121,103
26123,57
26125,181
26133,62
26137,68
26139,47
26145,143
26151,48
26155,56
26157,28
26159,72
26161,168
26163,451
26165,70
27003,126
27005,44
27007,54
27009,65
27013,52
27015,56
27019,64
27021,87
27025,40
27027,59
27035,28
27037,105
27041,38
27049,41
27053,395
27059,63
27061,39
27067,66
27079,52
27083,62
27085,64
27091,70
27099,140
27103,57
27105,150
27109,159
27115,80
27119,53
27123,273
27131,97
27137,84
27139,85
27141,69
27145,41
27163,77
27169,31
27171,37
28001,406
28003,113
28005,263
28007,269
28009,243
28011,435
28013,140
28015,329
28017,225
28021,349
28023,366
28025,215
28027,805
28029,422
28031,296
28033,206
28035,568
28037,247
28039,148
28041,757
28043,390
28045,214
28047,374
28049,1117
28051,451
28053,445
28057,121
28059,210
28061,246
28063,380
28065,278
28067,270
28069,160
28071,170
28073,92
28075,366
28077,426
28079,170
28081,239
28083,454
28085,181
28087,267
28089,282
28091,277
28093,204
28095,123
28097,313
28099,210
28101,287
28103,394
28105,161
28107,250
28109,223
28111,118
28113,464
28115,84
28117,85
28119,379
28121,356
28123,302
28127,209
28129,119
28131,279
28133,903
28135,191
28137,115
28143,776
28145,134
28147,227
28149,402
28151,499
28153,166
28157,271
28159,163
